location	longitude	latitude
 Iowa City, IA	-91.5299106	41.6612561
 Milwaukee, WI	-87.922497	43.0349931
 Shelton, WA	-123.1007066	47.2150945
 Columbia, MO	-92.3337366	38.951883
 Seattle, WA	-122.3300624	47.6038321

 Fargo, ND	-96.789821	46.877229
 Las Vegas, NV	-115.149225	36.1662859
 Morton, WA	-75.3235215	39.9098345
 Redmond, WA	-122.1238767	47.6694141
 Renton, WA	-122.2034496	47.4799078
 Springfield, IL	-89.6443688	39.7989763
 Sharon, MA	-71.1786627	42.1237102
 Laporte, WA	-76.494113	41.4239666
 Villa Rica, GA	-84.9191081	33.732052
 Raymond, WA	-123.7329469	46.6864843
 Orlando, FL	-81.3794368	28.5423999
 Glade Spring, VA	-81.7712324	36.791225
 Silver Beach, NY	-73.8063889	40.8116667
 Lewiston, MT	-70.2147764	44.100351
 Fort Myers Beach, FL	-81.948145	26.4520248
 St. Augustine, FL	-81.3145395	29.8946952
 Lisbon, ME	-70.1044975	44.0314649
 Fontana, CA	-117.435048	34.0922335
 Hilltop, NJ	-75.067394	39.8245583
 Lebanon, OR	-122.9068762	44.5365467
 Newtown, CT	-73.3086445	41.4134764
 Prescott, AZ	-112.469518	34.5402813
 Quilcene, WA	-122.8751712	47.8222945
 Silverdale, WA	-122.6766317	47.6594091
 Cordova, AK	-145.7589103	60.5439444
 Folsom, NJ	-74.8426653	39.6020608
 Harrisonburg, VA	-78.8688833	38.4493315
 Vancouver, WA	-122.6744557	45.6306954
 North Haven, CT	-72.859545	41.3909305
 Battle Creek, MI	-85.1824269	42.3192548
 Jacksonville, FL	-81.655651	30.3321838
 Boise, ID	-116.200835	43.61656
 Seymour, TN	-83.7766182648	35.881048
 Bessemer, AL	-86.91720475	33.3823635
 Seattle, WA	-122.3300624	47.6038321
 West Union, OH	-83.5451934	38.7945166
 Bradenton, FL	-82.5748194	27.4989278
 Seattle, WA	-122.3300624	47.6038321
 N. Judson, IN	-86.777617	41.2157904
 Elk Grove, CA	-121.3716178	38.4087993
 Denmark, WI	-87.8269868	44.3479362
 Cromwell, CT	-72.6453705	41.5950989
 Sioux Falls, SD	-96.700327	43.5499749
 Fresno, CA	-119.708861261	36.7295295
 Kansas City, KS	-94.7495246	39.1146799
 Marion, NY	-77.189147	43.143397
 Cannon, NH	-71.6984172	44.1564536
 Corpus Christi, TX	-97.3955744	27.8002542
 Oregon City, OR	-122.6067583	45.3573429
 Chimacum, WA	-122.770452	48.0146577
 Santa Clara, CA	-121.517372158	37.0345831939
 Redmond, WA	-122.1238767	47.6694141
 St. Louis, MO	-90.2416548	38.6337716
 Norfolk, VA	-76.2481624	36.8889933
 Goldsboro, NC	-77.9927651	35.3848841
 Salinas, CA	-121.6550372	36.6744117
 Salinas, CA	-121.6550372	36.6744117
 Lynnwood, WA	-122.3053932	47.8278656
 Highpoint, NC	-80.0563864	35.9242943
 Fort Wayne, IN	-85.1386015	41.0799898
 Lake Oswego, OR	-122.6706498	45.4206749
 Columbia, SC	-81.0343313	34.0007493
 Port Orchard, WA	-122.6384056	47.5315625
 Earlville, PA	-75.7368575	40.3167603
 Phoenix, AZ	-112.0773456	33.4485866
 Alexandria, LA	-95.377883	45.8846686
